Year	Cod_F510	area_ArW	IceareamaxApril	Haddock_F47	Relative_F_Shrimp	Aug-SeptZoopl2000_biom	IceareaminSept	Cod_w8y	BSO	Aug-Sept_Zoopl_Totalbiom	Aug-SeptZoopl1000_biom	Capelin_Mat2	Haddock_w5y	LRD_0_num	Capelin_gr12	NAO	Aug-SeptZoopl180_biom	NBSO	Polarcod_0_num	Herring1-2_biom	SBSO	Cod_w5y	Cod_w3y	Capelin_Condw	BSX	Cod _Rec3	Kola_Salinity	Haddock_M_age3	Krill	Relative_F_Capelin	Haddockk_R3	Shrimp	Krill_S	Polarcod_biom	Cod _mat7	cap0	herring0	TempNE	Capelin_TSB	Haddock_SSB68	area_AW	Cod_0_num	Polarcod_w2y	Jelly	LRD_russ	Haddock3_biom	Haddock_0_num	Cod3_biom	area_MW	FB-aug	TaAnom_East	TempNW	TaAnom_West	Kola_Temperature
1998	0.9138	413.2335333	759240.4241	0.478	0.118	1.71288	85521.3085	4.574	2.7825	7.91328	3.5052	0.509106177	0.857	1.431363764	9.23	0.04	2.6952	0.3068	4.333124709	0.5625882	-0.1461	1.161	0.217	4.280701646	1.3067	848805	34.78	0.287	0.754348336	0.040856031	61329	2.12	2.591064607	0.8395	47.31	4.529443188	4.900323424	-0.4	2056	111502.6604	144.4284615	3.848189117	0.0229	2.32635751	71.42083333	256273	3.775537635	1.23303	170.1147302	5.82	-2.69	-0.73127193	-0.17	3.64
1999	0.9807	316.8808734	632041.3583	0.427	0.1831	1.137546	33931.0999	4.464	3.0861	6.7640491	2.854135	0.536007095	0.926	2.021189299	9.132	0.69	2.7723681	0.309	5.123289633	1.0937204	0.1111	1.174	0.203	4.391597665	1.7407	552549	34.76	0.203	0.666517981	0.145172911	161943	1.848	2.605305046	1.1419	70.48	4.930979578	4.202243038	-0.623008808	2776	50226.73165	178.3043349	3.110252917	0.0187	2.719398403	97.29878049	244019	3.055760465	1.105696	232.5915167	6.07	-1.27	-0.323287675	0.77	4.23
2000	0.8363	248.4891212	499146.718	0.391	0.2199	1.3419706	46332.42876	4.096	2.8635	7.8920294	3.4377059	0.552979593	1.013	2.367355921	10.216654	1.65	3.1123529	0.027	5.142580288	2.2027446	0.0997	1.208	0.194	4.207014865	2.0145	614338	34.77	0.276	0.549003262	0.138778376	87204	1.638	2.926856709	1.3478	77.3	4.600024904	4.695604242	0.024386596	4273	32648.86254	186.6229971	4.417919873	0.0216	3.100355027	87.76960784	218819	3.463445032	1.109136	292.6646067	5.83	2.35	0.071356478	0.96	4.63
2001	0.6913	246.3651157	575155.5895	0.343	0.1506	1.0176454	4864.767854	5.118	3.1828	5.9704397	2.2074894	0.311744241	1.01	2.209515015	7.192876	-0.99	2.745305	-0.0778	4.235200077	1.45571	0.1433	1.196	0.285	4.346954795	2.251	524419	34.72	0.23	0.761175813	0.180991736	387317	1.702	2.86923172	1.8696	62.52	4.526933441	2.926342447	-0.360104669	3630	35445.64011	162.8181724	2.958085849	0.0277	3.690698573	132.6936937	315527	3.231979027	1.388974	318.5934369	5.88	1.17	0.484941129	0.4	4.48
2002	0.6548	275.9838854	436711.092	0.349	0.1677	1.413375	55490.79661	4.766	3.213	6.976125	2.624625	0.190673393	0.875	2.863917377	6.817	0.63	2.938125	-0.1679	5.095890832	0.5612388	0.1092	1.189	0.251	4.566050373	1.9306	452088	34.75	0.305	0.633973156	0.134841629	365492	1.639	3.064083436	1.3772	68.4	4.288383384	4.368361276	-0.002188509	2210	70092.32519	167.0081667	4.282327499	0.0252	3.457806502	132.7035831	431059	3.265525335	1.56197	284.784673	6.54	0.23	-0.253558973	0.44	4.42
2003	0.5221	347.3368767	627957.2257	0.405	0.1241	1.5467273	119443.5576	4.971	3.1288	6.5047273	3.0007273	0.359749739	0.865	1.892094603	6.235	0.07	1.9572727	-0.0121	4.108497371	1.6773176	0.2313	1.31	0.23	3.795027782	1.8418	692921	34.82	0.34	0.45331834	0	229120	1.414	2.838219222	0.2802	68.56	4.977275365	4.456047028	-0.35	533	82829.53706	138.9079797	4.238146506	0.0184	3.425445983	121.2796209	511959	3.898176483	1.63966	241.5318685	6.23	-0.28	0.3	-0.17	4.15
2004	0.6456	270.6376565	495749.6297	0.438	0.09758	2.0799745	5003.457036	4.384	3.2748	7.7897325	3.3590828	0.385300758	0.814	1.556302501	9.414	-0.1	2.3506752	0.2284	4.574297553	3.1964046	0.1473	1.087	0.25	4.269320066	1.9644	304824	34.88	0.363	0.812244697	0.001592357	239666	1.969	2.664641976	1.1438	81.84	4.222742476	5.12499302	-0.741708481	628	117272.5188	173.5463689	4.282327499	0.0178	3.178834365	83.96230159	495340	4.282032686	1.605931	283.5926995	6.36	1.13	0.427283371	1.08	4.79
2005	0.6696	250.9580529	511633.5914	0.456	0.08649	1.0940303	37949.1571	3.955	2.8968	7.7253333	3.7045909	0.604161867	0.858	2.301029996	10.455	0.38	2.9267121	-0.0011	3.989271792	2.3282518	0.1898	1.118	0.231	4.218794674	2.2228	558953	34.82	0.371	0.955206538	0	351864	2.207	2.784617293	1.8033	81.77	4.621259392	4.420483846	-0.350644029	324	131743.9641	187.7592345	4.333084371	0.018	3.153279679	85.43816254	516071	4.522222465	1.596776	289.0594375	6.21	2.22	-0.106356481	1.37	4.82
2006	0.5644	154.3540422	269934.9612	0.362	0.0657	1.5118926	39223.78248	4.427	2.7789	8.6586309	4.5940403	0.723923268	0.878	2.851258349	12.31	-0.87	2.552698	0.2021	4.448613578	2.3781248	0.0793	1.201	0.256	4.506098532	2.2783	545571	34.82	0.284	0.984977126	0.005082592	208564	2.019	2.904715545	1.941	69.85	5.221153322	4.824899972	-0.062246168	787	129036.3998	229.0333851	3.895422546	0.0283	3.063347503	70.97752809	504337	4.057704132	1.544846	344.3892977	6.88	1.93	0.534145002	1.52	5.08
2007	0.3683	171.3995151	360753.8049	0.349	0.07134	1.0170629	17904.0565	4.64	2.9004	7.1566434	4.0542098	0.51086758	0.885	2.418301291	10.674	1.17	2.0853706	0.019	4.45354766	0.8644178	0.1613	1.341	0.262	4.025137953	2.3925	1223377	34.85	0.306	0.95616843	0.005313496	908909	1.88	3.044147621	1.23	84.29	5.198417884	4.351815626	0.15844848	1882	115869.7201	229.6043196	3.98708503	0.0288	3.086625629	104.960396	691072	3.451172158	1.873552	326.7728902	6.52	2.71	0.178132564	1.37	4.94
2008	0.3309	200.2957112	425696.2116	0.361	0.06599	1.0206186	64542.91881	4.82	2.4885	6.5051546	3.2310103	0.518417687	0.878	2.980457892	7.9	1.07	2.277	-0.2627	3.828659897	0.7286816	0.1703	1.37	0.286	3.969859526	2.1671	1209828	34.78	0.363	1.228400359	0.069121301	1388869	1.92	3.061452479	1.219	61.39	5.460595685	4.201806643	0	4427	108731.0628	202.7469681	4.724070965	0.0288	3.069497745	118.0471698	1010545	3.43806745	2.511991	324.7340456	6.34	2.31	0.203506814	0.87	4.64
2009	0.2802	246.8989362	501165.3198	0.346	0.05992	0.6647957	59637.63905	5.111	2.6396	6.312905	3.18669	0.283762667	0.767	2.06069784	7.8	0.07	2.4614194	0.067	4.653241466	0.3010704	0.0992	1.343	0.26	4.376769868	1.7226	798034	34.8	0.377	1.012415375	0.086528222	1169398	2.041	3.610660163	0.889	85	5.278220692	4.276829305	-0.067700335	3756	100752.9737	214.6435412	4.737025574	0.0222	2.821898541	109.7093023	1300163	4.115277591	3.071831	266.2342475	6.35	1.68	0.200338451	1.05	4.69
2010	0.2748	158.9469868	478138.435	0.327	0.05453	0.658229508	54852.50589	4.8	2.0386	6.515846995	3.177530055	0.334109739	0.747	2.10720997	6.8	-2.54	2.680087432	0.0619	4.513803369	0.4288708	-0.0023	1.183	0.257	3.982816712	1.0458	437472	34.82	0.391	1.175511813	0.102857143	324162	2.07	3.012415375	1.431	67.7	4.962511394	4.308927063	0.15	3500	188032.443	216.7048658	4.608900264	0.0237	2.445105969	86	1414095	3.861414919	3.289421	352.1248724	6.18	0.91	0.483817502	0.79	4.75
2011	0.3111	257.0084143	433962.0868	0.351	0.07358	0.885962011	2529.942995	4.319	3.2939	5.876802235	3.42095419	0.232203474	0.783	1.763427994	6.75	-0.65	1.57095419	-0.0846	4.580445962	0.5627066	0.2363	1.088	0.224	4.230869373	2.3514	674247	34.86	0.475	1.289142836	0.079848934	136762	1.817	3.106870544	0.861	77.7	5.245107796	4.135895576	0.341452414	3707	350891.1348	166.3260972	5.078224746	0.0222	3.312972961	101.2774869	1326428	3.871631305	3.378814	304.4422135	6.387	2.7	0.653600268	1.59	4.37
2012	0.2721	204.7041055	356739.9661	0.26	0.07547	0.679523044	2806.644529	4.056	2.4918	7.129533808	3.71987912	0.174530082	0.843	2.238046103	6.41	1.61	2.730609131	-0.1879	4.331508276	0.2493618	0.2454	1.108	0.21	4.130558566	2.117	692819	34.79	0.387	1.059941888	0.049358617	304066	1.515	3.025715384	0.319	67.9	5.492088179	4.422917981	0.331388137	3586	544805.8135	218.1651751	5.02191665	0.0211	3.115433613	109.5721925	1240469	3.258637283	3.389314	304.9074445	6.5	3.39	0.714294348	1.58	5.36
2013	0.3787	219.9643128	404718.8288	0.183	0.06037	0.515626087	1681.735967	4.049	2.8304	5.161704348	2.587786957	0.152636448	0.808	0.698970004	4.71	-1.66	2.058291304	0.3324	3.2509077	0.3272228	0.0749	1.151	0.256	4.098450867	1.7996	770458	34.77	0.319	1.121508598	0.016683519	119372	1.382	2.829303773	0.476	55.3	4.976226139	4.851087044	0.25802083	3956	586496.2135	203.6785032	4.954729611	0.0237	3.490868053	92.5443038	1130307	3.86003839	3.59087	304.133909	6.27	2.82	-0.292054917	1.69	4.87
2014	0.4768	235.3242174	400621.9956	0.152	0.06298	0.73	119297.724	3.828	2.5899	6.87	3.231	0.1625387	0.975	2.489490187	5.81	0.92	2.91	-0.0441	3.547145839	0.5408926	0.0506	1.146	0.22	3.700295712	1.8088	1008678	34.78	0.27	0.685534058	0.059004618	352216	1.496	3.214048679	0.243	56.7	4.689600642	4.222042086	-0.73	1949.1	439436.2531	178.9464354	5.01274122	0.0248	3.683982526	90.90361446	1153141	3.62172469	3.152139	313.5060722	6.12	1.144255556	0.22	0.955119444	4.74
