Year	Cod_F47	CODR2	CODSSB	CODWC3	Her_F36	HERR1	HERSSB	HERWC3	Spr_F35	SPRR1	SPRSSB	SPRWC3	Acartia_Spr	Acartia_Sum	Temora_Spr	Temora_Sum	Pseudo_Spr	Pseudo_Sum	Chla_BBSpr	Chla_BBSum	Chla_GBSpr	Chla_GBSum	dia_BB_spr	dia_GB_spr	dia_BB_sum	dia_GB_sum	dino_BB_spr	dino_GB_spr	dino_BB_sum	dino_GB_sum	cyano_BB_spr	cyano_GB_spr	cyano_BB_sum	cyano_GB_sum	DIN_BB_10_win	DIP_BB_10_win	DIN_GB_10_win	DIP_GB_10_win	DIN_BB_90_sum	DIP_BB_90_sum	DIN_GB_220	DIP_GB_220	MaxIce	NAO_new	11psu_GBAnn	SST_BB_Spr	SST_GB_Spr	SST_BB_Sum	SST_GB_Sum	T_BB_60_spr	T_GB_60_spr	T_BB_60_sum	T_GB_60_sum	SSS_BB	SSS_GB	S90_BB	S100_GB	O2_BB	O2_GB	AnoxicArea	COD_RV
1985	0.7334	253078	544911	0.671	0.2413	24681.616	1182.846	0.042	0.1741	41178	552	0.0127	2.20272332	3.786080317	0.646346247	4.011604738	3.858140836	4.314613468	1.180422664	1.029916992	1.554629676	1.171966008	4.283586562	5.156177599	1.871802177	0	2.708050201	0	3.135494216	3.891820298	1.386294361	0.693147181	5.499215309	5.752572639	1.593308531	0.570037465	1.490654376	0.392042088	2.153698312	1.430470723	2.393034996	1.905088155	350	-0.81	4.8136467	7.293846	6.1433334	14.648	11.715	1.9018182	1.4266666	3.1053333	1.8730769	7.469333	7.4731426	15.053572	10.248909	1.1733333	-1.984	7656.000518	155.08
1986	1.0936	260214	399371	0.671	0.2152	11980.291	1115.201	0.033	0.2231	15272	505	0.0129	2.275685613	3.862588373	1.057209644	4.45712525	3.506156723	4.200654283	1.22890929	1.184025167	1.686398954	1.095273387	0.693147181	0.693147181	3.075774981	0	0	0	3.465735903	0	2.197224577	2.197224577	3.526360525	5.209486153	1.819698838	0.54522705	1.560247668	0.401010762	2.02287119	1.555192898	2.433613355	1.827769907	310	-0.87	4.83786795	5.555	5.745	12.1756	10.766364	1.695	1.5516666	2.1642857	2.0666666	7.63404	7.1994543	14.507236	9.69875	1.3914286	-3.0433333	9917.363707	111.818
1987	0.9196	368089	320470	0.671	0.2448	20658.552	1072.089	0.038	0.2836	34129	418	0.0133	1.830313889	4.219843999	0.642278157	4.802497467	2.764004653	4.576024007	1.236439994	1.00421003	1.662978679	0.701445983	4.317488114	4.610157727	0	0	5.408665424	4.682131227	0	1.945910149	0	0	4.369447852	4.806749559	1.749199855	0.625938431	1.733423892	0.457424847	2.23591096	1.78557371	2.525728644	1.956567444	394	-1.08	4.890424313	4.285333	3.1558824	8.686363	13.623333	1.6683333	1.36	1.9555556	2.375	7.56	7.041333	14.374444	9.363571	1.46	-1.55	14526.92142	97.6
1988	0.84	224300	299273	0.671	0.2312	9606.842	1078.544	0.047	0.2511	13625	378	0.0122	2.499144072	4.149668737	1.49432596	3.287992739	3.785477797	3.745271935	1.330429228	0.862769393	1.301553133	0.88238918	2.862200881	3.926911618	3.701301974	0	4.852030264	4.297285406	1.791759469	2.564949357	2.48490665	1.704748092	3.817712326	4.121743536	1.44926916	0.427444032	1.564440547	0.427444032	2.411439498	1.972691172	2.610069793	2.070653036	131	-0.38	4.937204016	7.932778	7.9035716	16.291111	16.726667	4.2573333	3.0418181	4.682	3.296	7.4943333	6.8023334	13.745	9.1108	-0.083333336	-2.76	21396.43731	98.1
1989	1.1478	122489	240273	0.671	0.3063	14198.25	952.204	0.037	0.2247	40420	401	0.0145	3.081405089	3.181371946	2.70071781	4.012287075	3.523924168	3.744875712	1.409131595	0.931770303	0.854415328	0.646627165	4.350277936	0	3.113515309	0	2.983153491	3.663561646	2.014903021	2.944438979	3.135494216	2.302585093	2.890371758	0	1.504077397	0.478302436	1.5518088	0.403240415	2.008214032	1.654411278	2.760642651	2.109000344	57	2.40	5.014959266	10.917273	9.6925	17.56	15.274	5.2566667	3.8266666	6.613333	3.91	7.7716665	7.042	13.469	8.753	0.3775	-3.4066668	14553.4126	42.5
1990	1.2432	128357	216024	0.671	0.2892	17931.306	821.813	0.042	0.1421	49294	534	0.0149	3.636293778	4.111383206	3.42765115	4.060902164	3.589966898	2.909645122	1.159707388	1.074404975	1.377001314	1.051695369	4.457250056	2.944438979	4.96284463	2.751535313	5.061011501	4.917544871	3.198673118	2.564949357	3.157000421	2.833213344	6.008813185	6.472346295	1.564440547	0.438254931	1.451613827	0.43394459	2.821378886	1.59817472	3.498324092	2.125847914	64	1.69	5.067015628	9.786538	8.477143	17.4247	16.27	5.75	4.445833	6.496105	4.5916667	7.490032	7.2191668	13.616864	8.742833	0.8798718	-2.2133334	11715.58035	108
1991	1.3958	82752	151586	0.671	0.2991	13957.964	731.372	0.035	0.1801	52857	736	0.0143	2.640034513	4.046958074	2.023484637	4.546300301	2.123256362	2.664413543	1.423670425	1.320647534	1.700192276	1.348073148	3.982792076	2.564949357	4.619511303	3.412247218	7.043741988	5.062595033	4.397188882	4.438721978	0.510825624	0	6.851184927	6.697856954	1.773255998	0.528665538	1.935859813	0.516807715	2.694964962	1.284261636	3.298795448	2.058600876	106	0.15	5.121997762	6.022857	4.871	17.81099	13.177368	3.832647	4.2505555	5.344607	5.1455555	7.2940907	7.1778946	14.020476	8.674	2.227931	-4.1666665	10999.33449	188
1992	1.1006	136406	92864	0.671	0.2739	16635.581	749.687	0.031	0.208	89024	977	0.0147	3.304437084	4.523042309	2.932011067	4.535287231	2.417420029	2.918038894	0.996394976	0.98170387	2.030338829	1.084223551	1.504077397	1.386294361	2.564949357	0	4.135166557	0	2.564949357	0	0.916290732	3.401197382	6.258433578	6.392897091	1.701105101	0.516807715	1.704748092	0.425267735	2.550226116	0.824175443	3.04927304	1.986503546	57	1.07	5.292399893	7.228205	7.1525	17.354864	17.6	4.6948485	4.7285	6.3984375	4.9275	7.5438	7.11145	14.790676	7.907	1.7338235	-3.1183333	9336.826333	62
1993	0.4323	181985	112710	0.671	0.312	15355.747	696.135	0.032	0.1668	86627	1256	0.0138	3.700134065	4.844247776	3.400064164	4.524151521	2.644432468	3.120177401	1.293013371	1.15887083	2.173127026	1.436725215	6.12905021	2.00148	4.382026635	3.451446798	5.790724405	6.715383386	4.79061187	4.732560259	2.740840024	2.379546134	4.603168183	5.951954192	1.704748092	0.453801646	1.667706821	0.406417038	2.608598122	0.861901957	2.631169157	1.335165527	83	1.52	5.268476525	6.2745457	6.691739	14.564667	14.762075	3.8294444	3.3757894	6.129041	3.7864444	7.4347157	7.145377	17.18209	8.568571	3.5427942	0.6928	7388.403226	331
1994	0.6686	127263	191730	0.67	0.375	14166.793	698.992	0.028	0.2712	60794	1301	0.0121	3.040569055	5.086978861	2.240405692	4.51289041	3.21113163	3.288246403	1.348235473	0.993930555	0.757685702	1.202543212	4.453442494	1.931521412	2.821378886	3.867025639	7.384451739	6.41665058	1.667706821	1.458615023	1.655048424	0.717839793	3.60004824	5.452325179	1.70837786	0.407961988	1.62924054	0.387204154	2.635479508	0.91451135	2.38416508	0.959350221	216	0.16	4.99152043	6.2451353	5.038485	19.882093	18.862778	3.2113793	2.371852	4.9458823	3.0011764	7.265721	6.8862104	17.084242	8.812214	2.228788	2.91875	2757.55632	302.06
1995	0.7972	119558	236994	0.692	0.3546	18398.192	609.125	0.024	0.3573	240242	1363	0.011	3.889163711	3.484587756	2.350391781	3.943804811	2.490652018	4.003103343	1.40056702	1.272915675	1.526056303	1.256442825	4.128745989	2.287471455	2.442347035	3.979681654	6.095599312	7.421895404	5.726684868	5.328361488	0.693147181	2.060513532	5.351621139	5.544591335	1.690095815	0.399995644	1.735189118	0.426084395	2.277267285	1.677815181	2.496505786	0.998791953	66	0.64	4.837233835	7.562143	7.326875	17.857334	15.055715	4.71	4.3358335	5.5266666	4.498235	7.350867	7.099143	16.227562	8.994	0.4928125	1.0675	8729.315803	137
1996	1.0134	115509	163779	0.7	0.3502	15436.478	549.566	0.024	0.3117	158036	1728	0.0103	2.369729591	4.181758778	1.419472213	4.561076743	3.331273273	3.554483257	1.564022049	0.956952714	1.255141091	1.211940974	3.435061896	4.878246106	3.592735594	3.161851856	5.970411138	7.301709951	4.617428083	5.019830979	0.490622916	2.388762789	4.902555034	5.04967284	1.646733697	0.406797553	1.609437912	0.350656872	2.106570209	1.790925788	1.272565596	1.404188846	237	-1.16	4.864838512	3.065	2.971111	14.881429	15.498333	1.56125	2.0916667	4.612222	3.1433334	7.0779047	6.96925	15.653334	9.497222	0.76757574	0.097	10032.03926	179.5
1997	1.0661	88058	135620	0.563	0.4031	9090.416	520.232	0.022	0.4262	54284	1702	0.0085	4.040108345	4.416676164	1.503076896	3.401583292	3.105567139	4.162370249	1.69744879	1.120591195	0.88238918	1.192659044	2.961830722	5.086361005	3.598681186	3.621135802	5.342493729	8.027248045	4.454347296	5.262897421	2.237157288	3.113515309	3.756538103	5.560604705	1.615419984	0.354171814	1.483874689	0.311154429	2.441477092	1.043217049	0.300104592	1.611896408	117	0.20	4.833977667	3.6042106	2.63	14.5515785	15.381785	4.2013335	2.6166666	5.2026668	3.7519047	7.4637027	6.9470716	15.876433	9.46819	1.9026667	0.304375	8680.939403	213.8
1998	1.0319	149121	109078	0.548	0.4257	14683.447	464.495	0.021	0.4289	170340	1269	0.0083	4.567735306	4.663454531	4.107307794	4.101495637	3.853227959	3.145674435	0.789850329	1.484940721	1.406096988	1.445848892	4.515245478	2.732923466	1.348073148	2.379546134	6.01218587	6.586095024	5.043102484	5.291292752	3.052821241	3.227284814	5.622391636	6.029001151	1.413423029	0.465529322	1.481604541	0.330502079	2.219203484	1.792837338	1.465567542	1.465221062	112	-0.65	4.751778206	5.12875	3.3933334	13.252264	12.279231	4.6875	3.1233332	4.774375	3.7275	7.0670753	6.984	15.914907	9.840083	-0.03203704	0.12789474	15904.68256	115.3
1999	0.9647	152307	90298	0.603	0.358	7798.22	394.468	0.022	0.4097	52293	1299	0.0092	3.925817423	4.153678155	4.019678261	3.031779386	3.343120163	2.845908158	1.293356365	1.06643339	1.887069649	1.296551986	3.857038697	2.312535424	2.823855975	2.282382386	7.411480756	6.126323184	4.04217369	6.254021101	3.101217781	3.079613758	3.16758253	7.041849013	1.650579856	0.502217242	1.678963975	0.42199441	2.198335072	1.888718138	2.247072383	1.752548277	147	0.11	4.758577733	5.23	4.69	16.446964	17.04	4.344815	3.2383332	5.029259	3.865	7.125036	6.6788335	15.406234	10.038333	-0.35716668	-1.7907143	28316.48717	35.8
2000	1.0724	174929	115853	0.606	0.4822	14964.28	402.497	0.026	0.3392	101279	1224	0.01	3.016666613	4.283501501	2.201754579	5.006689394	2.121039235	3.573211953	1.216442352	0.997658563	2.016235466	1.331045887	5.883229534	4.329416684	3.395626337	3.981549068	4.768705266	7.317079597	5.38281169	5.562602861	3.131136911	3.157000421	5.056882545	5.868166331	1.673351238	0.471490604	1.729884066	0.498753032	2.432735777	1.337726402	2.607124283	1.780867028	89	0.73	4.815674194	7.653478	6.6766667	15.1558695	14.565833	4.4861903	3.1283333	5.2185717	3.6658332	7.5353045	7.031833	15.57519	9.511917	0.6916216	-2.2833333	25149.77116	151
2001	1.2316	135682	104135	0.487	0.4085	10474.115	359.458	0.029	0.3118	47231	1110	0.0114	3.403936052	3.659390566	2.227089795	4.091178444	3.995090783	3.619065933	1.496471468	1.041369083	2.071913275	1.44574182	6.466999724	2.48490665	4.40060302	2.341805806	5.713402718	5.846246078	2.541601993	4.858260814	2.266957915	2.014903021	4.189149564	5.063227744	1.406096988	0.478302436	1.355835154	0.322083499	2.080690761	1.424685836	2.893699548	1.895744039	130	-1.41	4.816969636	6.068333	5.16	16.644722	16.855	4.057778	3.37	4.4851513	3.5716667	7.2310834	6.5216665	14.973639	9.76375	1.0072222	-3.63	43997.34374	92.3
2002	1.0999	122186	82992	0.527	0.3521	10002.106	371.625	0.0271	0.4028	52824	880	0.0102	3.381045693	4.089438101	3.510217132	4.306738038	3.003382106	3.596398601	1.229557715	0.869062255	1.882513832	1.321088951	6.105239561	2.45530618	3.886705197	3.837299459	5.078501605	5.7212949	2.859339649	3.60004824	1.213923135	2.957511061	3.38269391	3.862832761	1.418277407	0.443158399	1.512927012	0.350656872	2.386006701	1.427698026	3.052112607	1.963609726	89	0.57	4.830710862	5.608889	5.983333	16.755	18.581667	4.6105556	3.2483332	6.46	3.6758332	7.1534443	6.8258333	14.768833	9.74976	0.3942857	-4.1225	37112.67193	45.3
2003	0.9644	111907	80153	0.495	0.271	18511.352	427.671	0.0298	0.438	108553	742	0.0108	3.885988857	4.883796377	2.605672606	4.102350967	3.782237834	4.280366729	0.892975542	1.132579798	1.418277407	1.230827712	1.360976553	3.135494216	3.539508997	3.095577609	4.188644131	6.503988728	2.995732274	4.430816799	2.835172209	0.832909123	4.774912961	4.943069975	1.642872689	0.385262401	1.58514522	0.497740384	2.276241118	0.703097511	2.324346585	1.106911091	227	-0.25	4.76669362	3.5533333	1.9333333	16.180555	16.151667	3.45625	1.684	5.0066667	2.709091	7.2932224	6.788417	17.880194	10	3.5087879	2.9	33751.2749	407
2004	1.4612	107209	78901	0.536	0.2302	11425.864	428.006	0.0265	0.5308	210244	949	0.0105	3.911304748	4.55043413	3.351519886	3.928198761	2.997761463	2.718268648	1.248140729	0.991724389	1.701105101	1.320421617	3.711944727	1.335001067	1.678963975	0.336472237	3.81624605	6.261109932	4.310262068	6.474045005	0.510825624	2.785011242	3.279406325	5.001426355	1.193922468	0.680287068	1.350667183	0.491642804	2.036011984	1.058818585	2.433613355	1.120047569	150	-0.66	4.580160023	6.5005555	5.9	14.941112	14.928333	4.177778	2.6266668	5.5780554	3.0525	7.4346666	6.85125	16.727886	10.45675	0.91257143	0.8175	31059.29924	134
2005	0.9764	160148	63750	0.461	0.2078	7063.754	474.811	0.0193	0.4985	38799	1156	0.0081	3.926285427	4.393259146	2.064678657	4.539996686	2.506236046	3.812902241	1.221744974	1.024436838	1.576914721	1.454887153	5.677096209	4.820012712	3.489920256	2.934920134	4.641116313	6.136934804	3.375309611	5.905852191	2.261763098	2.00597439	3.627447215	6.284992002	1.332366019	0.5570729	1.435084525	0.629497155	2.309560707	1.724359739	1.172482137	1.436720092	171	-0.26	4.643140117	4.7555556	4.358889	16	16.19111	3.1155555	2.4966667	4.6869445	2.8555555	7.526417	7.0086665	15.427967	10.441444	-0.35033333	-0.190625	45786.88538	73.6
2006	0.8435	127414	78656	0.536	0.2257	11651.271	518.706	0.0237	0.4138	71159	945	0.0082	3.36600189	3.812866733	3.032056368	4.076986071	3.703140715	4.113581382	1.103199453	0.7761441	1.230539832	0.976067936	5.024481985	0.141846724	2.499540386	2.097075152	2.366605073	5.816962637	3.329332175	5.045386418	2.732059328	2.026458136	3.272157032	4.910327916	1.085189268	0.564682303	1.16315081	0.484481646	1.950186706	1.516935575	2.339880878	1.673820171	210	-1.01	4.649187071	5.6944447	5.775	18.068056	17.581667	2.921111	2.6533334	4.4041667	2.4754546	7.2984166	6.7611666	15.888147	10.330334	1.2444117	-2.0125	39761.45399	270.9
2007	0.6168	160234	93942	0.464	0.2372	10058.19	523.747	0.0254	0.3907	106364	845	0.0091	3.391494208	4.276478138	2.289807715	4.195743366	2.400103061	3.580979606	1.689798736	1.263651052	1.91839212	1.408356876	3.31721304	1.906277923	4.684669115	2.019734132	3.113911675	5.664196521	4.58850804	3.989422284	0.437679475	2.706404848	5.054076639	5.482944597	1.371180723	0.544812878	1.371180723	0.484481646	2.18492705	1.499809034	2.35991016	1.58514522	135	1.05	4.548176464	8.361667	7.085	15.869722	15.943334	5.3261113	4.5783334	6.2141666	4.76	7.473528	6.9964166	15.777945	11.051423	0.5417143	-0.94	44674.02058	135.76
2008	0.3042	204938	111253	0.409	0.2523	16384.581	510.546	0.0257	0.4265	61479	944	0.00983	3.797438491	3.889699002	3.366986335	5.097907129	3.40467288	3.831727662	2.113842968	1.560247668	2.102913898	1.832581464	2.091864062	2.549445171	3.632309103	2.687847494	4.619073091	6.906153998	6.148681948	3.295836866	2.128231706	3.910021003	6.766306915	5.831882477	1.278152203	0.563146975	1.40854497	0.501784863	2.151762203	1.10164688	2.822568655	1.753971063	49	0.79	4.656243456	6.7844443	6.1466665	16.820278	16.668333	5.191111	4.1033335	5.8227777	4.3483334	7.5800834	6.888	15.209324	10.41372	1.4352942	-2.1825	44901.21531	231.5
2009	0.286	198143	186327	0.596	0.2427	12314.159	531.515	0.0268	0.5317	160134	854	0.01052	3.898532415	4.056988776	3.73289634	5.538121359	3.703768067	3.841600541	1.249901736	1.247032294	1.726331664	1.497388409	3.493472658	2.517696473	3.414442608	3.295836866	3.597312261	5.909169304	3.634951112	5.937800023	3.586292865	3.349904087	4.861361591	6.584100546	1.350667183	0.535518217	1.545432582	0.511825134	2.101692151	1.193754091	3.017493765	1.829376333	108	0.22425	4.675069313	6.257222	5.7933335	15.549444	15.869091	4.775625	3.71	5.945	4.0636363	7.420472	7.06475	15.365084	10.105166	0.7772222	-2.88	35372.86074	121.5
2010	0.2504	195479	232139	0.353	0.3161	10965.522	535.12	0.0258	0.4081	56242	891	0.0099	2.530517161	3.73289634	2.341805806	4.295923936	3.045474365	3.839452313	1.625311262	1.00063188	2.081938422	1.432700734	3.657947712	3.211378188	1.92353599	0.232489343	2.826667259	1.778909933	3.906213563	3.983797099	0.159107517	0.288798699	4.102975046	5.834920088	1.368639426	0.511492082	1.510721939	0.495711976	2.1102132	1.191808205	3.107273648	1.85629799	239	-2.6745	4.605270181	3.943889	3.5533333	14.588611	15.53	2.34	2.1633334	3.4619443	2.6409092	7.0026946	7.076667	15.255455	10.578417	1.8633333	-4.0225	42590.73767	171.3
2011	0.2504	195479	232139	0.353	0.3161	10965.522	535.12	0.0258	0.4081	56242	891	0.0099	2.174751721	3.82798901	2.028148247	4.626931678	3.234749174	3.292126287	1.141033005	1.05431203	0.955511445	1.286474026	3.657947712	3.211378188	1.92353599	0.232489343	2.826667259	1.778909933	3.906213563	3.983797099	0.159107517	0.288798699	4.102975046	5.834920088	1.393766376	0.621173675	1.506297154	0.476234179	1.773255998	1.108700135	3.100992784	1.891101887	300	-2.6745	4.691531352	2.1566668	1.3633333	16.158148	16.53111	2.5877779	1.2233334	4	2.0877779	7.2025924	7.113	14.266375	10.338445	1.23125	-4.0033336	49726.2947	105
