"Year","Bottom_mean_AMON.umol.l.","Bottom_mean_CPHL.mg.m.3.","Bottom_mean_DOXY.umol.l.","Bottom_mean_NTOT.umol.l.","Bottom_mean_NTRA.umol.l.","Bottom_mean_NTRI.umol.l.","Bottom_mean_PHOS.umol.l.","Bottom_mean_PSAL","Bottom_mean_SLCA.umol.l.","Bottom_mean_TEMP","Bottom_mean_TPHS.umol.l.","Surface_mean_AMON.umol.l.","Surface_mean_CPHL.mg.m.3.","Surface_mean_DOXY.umol.l.","Surface_mean_NTOT.umol.l.","Surface_mean_NTRA.umol.l.","Surface_mean_NTRI.umol.l.","Surface_mean_PHOS.umol.l.","Surface_mean_PSAL","Surface_mean_SLCA.umol.l.","Surface_mean_TEMP","Surface_mean_TPHS.umol.l.","Clupea.harengus","Gadus.morhua","Melanogrammus.aeglefinus","Merlangius.merlangus","Sprattus.sprattus","Trisopterus.esmarkii"
2004,3.075625,1.2884,238.831131387,20.4190954774,7.13151006711,0.304494773519,1.32464646465,34.1473803922,12.9600671141,7.79682598039,1.74352040816,0.705917159763,2.0052173913,304.627013889,18.0723502304,3.2157704918,0.225302491103,0.250918032787,28.5216017073,4.19901639344,10.3427560976,0.553333333333,603.952238095238,100.666761904762,86.5239047619048,536.095142857143,130.857047619048,334.190476190476
2005,4.75575757576,1.24055555556,235.006976744,22.6102857143,6.61054794521,0.265974025974,1.74073059361,34.126063125,16.4228310502,7.939475,2.17047058824,0.503260869565,1.97983263598,301.406680498,16.9483091787,2.81966804979,0.118187919463,0.226280991736,27.6763487569,3.85743801653,11.1943648649,0.647912621359,1518.43304,69.91996,124.20008,1331.84204,986.48,92.86164
2006,2.85480225989,1.33388888889,231.225583333,19.3120879121,6.1911965812,0.254023668639,1.45846808511,34.1896966867,14.7936170213,7.82587447447,2.09467032967,0.670149253731,2.17239837398,304.483916667,18.8853080569,3.58345724907,0.190251572327,0.243048327138,27.6468606849,6.03903345725,11.1123059524,0.710943396226,2386.8,108.30005,530.70005,1006.2999,29.8501,1131.4
2007,8.26111111111,0.57523364486,204.908,25.6763313609,7.18616740088,0.312716049383,2.44269911504,33.8848268041,19.8427312775,8.47565986395,2.43113333333,0.662091503268,2.60110619469,301.103023256,19.5546448087,4.03435146444,0.137565789474,0.236234309623,27.1813806557,6.43974895397,10.5284738676,0.596393442623,428.143095238095,101.333333333333,95.0476666666667,569.238,11.6666666666667,31.2380952380952
2008,5.91483516484,0.516883116883,217.086606061,23.0893617021,7.25158730159,0.290934065934,2.37476190476,33.4213612403,23.0259259259,7.90652325581,2.514,0.765853658537,2.19436781609,310.78462766,20.1223958333,4.26192708333,0.267012195122,0.275364583333,25.7606060886,9.4046875,10.3048391791,0.714166666667,529.571476190476,50.6665714285714,166.380952380952,298.047476190476,7.90476190476191,379.190428571429
2009,3.8755186722,1.53349206349,232.162447257,21.1387096774,5.65552419355,0.212572614108,1.76991935484,32.2137780186,17.2149193548,8.62572136223,2.30504032258,0.509442060086,3.03817021277,301.933166667,18.1796153846,2.55206896552,0.111974248927,0.230881226054,25.8806758333,6.62337164751,10.154755102,0.751992337165,807.190476190476,43.7142857142857,127.190428571429,462.523761904762,35.7619047619048,227.380952380952
2010,2.46279069767,1.77515923567,222.308644068,19.85951417,5.81829959514,0.170570175439,1.16815261044,30.6480132308,14.1178423237,9.08535825545,1.35045454545,1.3188034188,3.08543478261,308.766603053,19.6204152249,1.89111498258,0.100725806452,0.147724137931,23.517885989,5.82056737589,10.6586371681,0.690590277778,6552.8501,47.7,215.75,539.2501,70.1,1239.5
2011,0.810526315789,0.2,222.167966102,16.76,8.55585365854,0.28756097561,0.957073170732,34.647158547,12.1170731707,8.17929059829,1.1615,0.442105263158,2.3,287.304915254,16.7024390244,2.04756097561,0.132926829268,0.169512195122,29.1509497458,4.95853658537,11.0370254237,0.669024390244,14033.7141904762,23.1904761904762,189.571428571429,376.142904761905,187.523761904762,146.857142857143
2012,0.624444444444,0.485714285714,242.491875,15.7022222222,8.38511111111,0.358444444444,0.872222222222,34.3818764479,10.6155555556,8.23093023256,0.973636363636,0.491304347826,2.15777777778,294.193703704,15.9689655172,2.33431034483,0.125869565217,0.200517241379,26.7496669091,4.71551724138,10.3080076046,0.588275862069,1030.9049047619,134.523761904762,167.095238095238,633.857238095238,66.4287142857143,23.1428571428571
2013,0.534146341463,0.233333333333,237.41875,14.78125,7.81333333333,0.223333333333,0.888541666667,34.6129240143,9.3875,7.70269784173,0.933125,0.3,1.15086956522,315.677291667,14.947826087,2.35308823529,0.170425531915,0.229275362319,26.6643282313,9.24637681159,9.09799326599,0.535507246377,1975.95223809524,133.523761904762,409.714333333333,358.85719047619,1.61904761904762,1437.38095238095
2014,0.637837837838,1.21666666667,231.584324324,17.0475,9.7135,0.331,1.05486486486,34.7185975,12.3175,8.68376470588,1.21475,0.410810810811,2.2075,287.094358974,17.92,2.35125,0.14625,0.208378378378,28.9586241667,4.865,10.3834166667,0.716,567.1899,76.2178,31.2499,372.4579,75.6627,26.79685
